date,IFB,ifb.r
2/3/2014,801,-1.781784332
2/4/2014,805,0.498133035
2/5/2014,771.7,-4.224640396
2/8/2014,738.8,-4.356862514
2/9/2014,745.7,0.929612622
2/10/2014,738.2,-1.010858395
2/12/2014,721.2,-2.329829927
2/15/2014,727.9,0.92471848
2/16/2014,743.3,2.093605561
2/17/2014,759.6,2.169224721
2/18/2014,751.2,-1.112005104
2/19/2014,763.7,1.6503114
2/22/2014,766,0.300712785
2/23/2014,760.8,-0.681165851
2/24/2014,755.5,-0.699072952
2/25/2014,750.2,-0.703994407
2/26/2014,752.5,0.306115898
3/1/2014,758.7,0.820544572
3/2/2014,750.9,-1.033395524
3/3/2014,737.8,-1.759970194
3/4/2014,735,-0.380228595
3/5/2014,749.8,1.993600509
3/8/2014,746.9,-0.387519694
3/9/2014,737.9,-1.21229933
3/10/2014,733.7,-0.570808834
3/11/2014,729.8,-0.532970172
3/12/2014,735.8,0.818781867
3/15/2014,750.8,2.018096204
3/16/2014,752.9,0.279311214
3/17/2014,767.4,1.907576096
3/18/2014,767.7,0.039085402
3/19/2014,771.3,0.467837111
3/25/2014,772.5,0.155460583
3/26/2014,763.6,-1.158791692
3/29/2014,760.4,-0.419948124
3/30/2014,772.1,1.52694647
3/31/2014,781.3,1.184512369
4/5/2014,776.2,-0.654898007
4/6/2014,766.4,-1.270599228
4/7/2014,767.5,0.14342528
4/8/2014,768.9,0.182244258
4/9/2014,758.1,-1.414561898
4/12/2014,746,-1.608970286
4/13/2014,719.3,-3.644708333
4/14/2014,706.4,-1.809686758
4/15/2014,725.1,2.612792709
4/16/2014,742.5,2.37132943
4/19/2014,728.9,-1.848632229
4/20/2014,748.7,2.680182085
4/21/2014,765.8,2.258266981
4/22/2014,777.5,1.516260501
4/26/2014,796.7,2.439455233
4/27/2014,799.6,0.363340624
4/28/2014,787.8,-1.486735209
4/29/2014,778.7,-1.161838795
4/30/2014,780.6,0.243699216
5/3/2014,777.6,-0.38506016
5/4/2014,769.7,-1.021142461
5/5/2014,777.3,0.98255477
5/6/2014,785.7,1.074866395
5/7/2014,792.5,0.861746557
5/10/2014,786.3,-0.785410675
5/11/2014,784.5,-0.229182682
5/12/2014,785.8,0.165573495
5/14/2014,783.9,-0.242084593
5/17/2014,774.1,-1.258039698
5/18/2014,782.8,1.117617131
5/19/2014,777.8,-0.64078138
5/20/2014,777.3,-0.064304549
5/21/2014,775.7,-0.206052874
5/24/2014,777.2,0.193187001
5/25/2014,774.8,-0.309278597
5/26/2014,771.2,-0.465718824
5/28/2014,766.6,-0.598259035
5/31/2014,766,-0.078298321
6/1/2014,752.4,-1.791407231
6/2/2014,755.8,0.450869349
6/3/2014,762.9,0.935017018
6/7/2014,762.1,-0.104918042
6/8/2014,763.1,0.131130362
6/9/2014,763.7,0.07859576
6/10/2014,760.2,-0.459348534
6/11/2014,755,-0.686380731
6/14/2014,738.8,-2.169050092
6/15/2014,731.4,-1.006674261
6/16/2014,742,1.438873745
6/17/2014,743.5,0.201952273
6/18/2014,746.2,0.362489489
6/21/2014,748.5,0.307754307
6/22/2014,744.9,-0.482122268
